"Site crawlé","https://nina-carducci.github.io/"
"Date de début","2025-12-31"
"Heure de début","09:33:34"
"Date de la dernière modification","2025-12-31"
"Heure de la dernière modification","09:33:38"
"Temps écoulé","00:00:03"
"Date du rapport","2025-12-31"
"Heure du rapport","09:38:50"
""
"Résumé","URL","% du total","Total des URL","Total des descriptions d'URL"
"Version canonique non indexable","0","0,00%","1","Pages internes HTML ou PDF avec réponse 2xx"
"L’URL canonique est relative","0","0,00%","1","Pages internes HTML ou PDF avec réponse 2xx"
"Dissocié","0","0,00%","1","Pages internes HTML ou PDF avec réponse 2xx"
"Attribut non valide dans une annotation","0","0,00%","1","Pages internes HTML ou PDF avec réponse 2xx"
"Contient un fragment d'URL","0","0,00%","1","Pages internes HTML ou PDF avec réponse 2xx"
"En dehors du <head>","0","0,00%","1","Pages internes HTML ou PDF avec réponse 2xx"
""
"Pagination"
"Tous","1","100,00%","1","Pages HTML internes avec réponse 2xx"
"Contient la pagination","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Première page","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Plus de 2 pages paginées","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"L'URL de pagination ne figure pas dans la balise d'ancrage","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"URL de pagination non-200","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"URL de pagination non liées","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Non indexable","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"URL de pagination multiples","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Boucle de pagination","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Erreur de séquence","0","0,00%","1","Pages HTML internes avec réponse 2xx"
""
"Directives"
"Tous","21","100,00%","21","URL internes avec réponse 2xx"
"Index","0","0,00%","21","URL internes avec réponse 2xx"
"Noindex","0","0,00%","21","URL internes avec réponse 2xx"
"Follow","0","0,00%","21","URL internes avec réponse 2xx"
"Nofollow","0","0,00%","21","URL internes avec réponse 2xx"
"None","0","0,00%","21","URL internes avec réponse 2xx"
"NoArchive","0","0,00%","21","URL internes avec réponse 2xx"
"NoSnippet","0","0,00%","21","URL internes avec réponse 2xx"
"Max-Snippet","0","0,00%","21","URL internes avec réponse 2xx"
"Max-Image-Preview","0","0,00%","21","URL internes avec réponse 2xx"
"Max-Video-Preview","0","0,00%","21","URL internes avec réponse 2xx"
"NoODP","0","0,00%","21","URL internes avec réponse 2xx"
"NoYDIR","0","0,00%","21","URL internes avec réponse 2xx"
"NoImageIndex","0","0,00%","21","URL internes avec réponse 2xx"
"NoTranslate","0","0,00%","21","URL internes avec réponse 2xx"
"Unavailable_After","0","0,00%","21","URL internes avec réponse 2xx"
"Refresh","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"En dehors du <head>","0","0,00%","21","URL internes avec réponse 2xx"
""
"Hreflang"
"Tous","1","100,00%","1","Pages internes avec réponse 2xx"
"Contient des attributs hreflang","0","0,00%","1","Pages internes avec réponse 2xx"
"URL hreflang non-200","0","0,00%","1","Pages internes avec réponse 2xx"
"URL hreflang non liés","0","0,00%","1","Pages internes avec réponse 2xx"
"Liens de retour manquants","0","0,00%","1","Pages internes avec réponse 2xx"
"Liens de retour de langue et de région incohérents","0","0,00%","1","Pages internes avec réponse 2xx"
"Liens de retour non canoniques","0","0,00%","1","Pages internes avec réponse 2xx"
"Liens de retour Noindex","0","0,00%","1","Pages internes avec réponse 2xx"
"Codes de langue et de région incorrects","0","0,00%","1","Pages internes avec réponse 2xx"
"Entrées multiples","0","0,00%","1","Pages internes avec réponse 2xx"
"Auto-référence manquante","0","0,00%","1","Pages internes avec réponse 2xx"
"Ne pas utiliser la version canonique","0","0,00%","1","Pages internes avec réponse 2xx"
"X-Default manquant","0","0,00%","1","Pages internes avec réponse 2xx"
"Manquant","0","0,00%","1","Pages internes avec réponse 2xx"
"En dehors du <head>","0","0,00%","1","Pages internes avec réponse 2xx"
""
"JavaScript"
"Tous","1","100,00%","1","Pages HTML internes avec réponse 2xx"
"Pages avec ressources bloquées","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Contient des liens JavaScript","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Contient un contenu JavaScript","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Balise noindex uniquement en HTML original","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Balise nofollow uniquement en HTML original","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Version canonique uniquement en HTML rendu","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Incompatibilité des versions canoniques","0","0,00%","1","Pages HTML internes avec réponse 2xx"
